ID ID_BURGDORF NAME LOCATION PROXY LON LAT SEAS VARIABLE UNIT PERIOD_START PERIOD_END N REF_PERIOD_START REF_PERIOD_END REFDATA MODEL CORREL PVAL
324 515 Ice_phenology_Velsk_Vel_River_freeze-up_2 Velsk Vel_River 42.11667 61.08333 earlywinter freeze_up_date DOY 1868 1878 11 NA NA NA none NA NA
327 525 Ice_phenology_Kazan_Volga_River_break-up Kazan Volga_River 49.11667 55.78333 latespring break_up_date DOY 1807 1879 57 1807 1879 BEST MarApr 0.5992513 0.000416
328 524 Ice_phenology_Kazan_Volga_River_freeze-up Kazan Volga_River 49.11667 55.78333 earlywinter freeze_up_date DOY 1807 1879 56 1807 1879 BEST Jul 0.3870955 0.0164
329 523 Ice_phenology_Nizhny_Novgorod_Volga_River_break-up Nizhny_Novgorod Volga_River 43.61667 56.5 latespring break_up_date DOY 1838 1879 34 1838 1879 BEST DecJanFebMar 0.5378722 0.0367
330 522 Ice_phenology_Nizhny_Novgorod_Volga_River_freeze-up Nizhny_Novgorod Volga_River 43.61667 56.5 earlywinter freeze_up_date DOY 1838 1878 32 1838 1878 BEST Jul 0.4446198 0.0108
331 523 Ice_phenology_Nizhny_Novgorod_Volga_River_break-up_2 Nizhny_Novgorod Volga_River 43.61667 56.5 latespring break_up_date DOY 1860 1879 20 NA NA NA none NA NA
332 522 Ice_phenology_Nizhny_Novgorod_Volga_River_freeze-up_2 Nizhny_Novgorod Volga_River 43.61667 56.5 earlywinter freeze_up_date DOY 1860 1878 19 NA NA NA none NA NA
333 529 Ice_phenology_Saratov_Volga_River_break-up Saratov Volga_River 46.05 51.5333 latespring break_up_date DOY 1763 1879 91 1807 1879 BEST JanFebMar 0.4665877 0.00436
334 528 Ice_phenology_Saratov_Volga_River_freeze-up Saratov Volga_River 46.05 51.5333 earlywinter freeze_up_date DOY 1762 1879 91 1807 1879 BEST Aug 0.3108017 0.0197
335 519 Ice_phenology_Tver_Volga_River_break-up Tver Volga_River 35.9 56.86667 latespring break_up_date DOY 1797 1879 48 NA NA NA none NA NA
336 518 Ice_phenology_Tver_Volga_River_freeze-up Tver Volga_River 35.9 56.86667 earlywinter freeze_up_date DOY 1797 1879 45 NA NA NA none NA NA
337 527 Ice_phenology_Ulyanovsk_Volga_River_break-up Ulyanovsk Volga_River 48.41667 54.31667 latespring break_up_date DOY 1832 1878 47 1832 1878 BEST JanFebMarApr 0.7233825 2.1e-06
